year,month,day,hour,location,stateOrProvince,country,continent,title,description,locale,duration,evidenceAndSpecialEffectsFlags,typeOfUfoCraftFlags,latitude,apparentUfoOccupantActivitiesFlags,placesVisitedAndThingsAffectedFlags,elevation,miscellaneousDetailsFlags,relativeAltitude,longitude,locationFlags,ref,refIndex,strangeness,credibility,miscellaneousFlags,aliensMonstersFlags
1968,10,NA,~17:00,"LAKELAND,FL",Florida,USA,North America,5 OBS,"DISK HVRS 2M/PALM-TREE
2 FIGs/XPRNT DOME
RFI+NH3 ODOR
/r171",Residential,1,"Electro-Magnetic Effect, Technical",Saucer,28/04/2017,Observation,Building or ANY MANMADE STRUCTURE,58,Odors,5,81.96,"Map, Ground, Civilian, High quality observer(s)",224,100,7,8,NA,Figure
1974,3,5,20,"Les ROUTIERES,FR",Aisne,France,Western Europe,2/CAR/D38,"15M YLW-ORG CGR 50M OVR FIELD
/r213p145+/FSRv21#6",Town & city,1,NA,Cigar,49.88,NA,NA,NA,NA,NA,-4.02,"Map, Ground, Civilian",30,459,6,7,NA,No occupant
1952,8,9,10,"TOKYO,JP",HNS,Japan,Asia Pacific,USMC PILOT,"ORG NLT SPIRALS/1500'
HVRS/3min
WINKS OUT
JET CANT CATCH",In-flight,6,NA,"Nightlights, Probe",35.68,NA,NA,NA,"Military investigation, Blue Book",NA,-139.76,"Map, Ground, Airborne, Military",185,15,6,7,NA,No occupant
1978,8,NA,1,"TORTORETO,ITL",TE,Italy,Western Europe,4 OBS,"WHT GLOBE /ABANDONDED HOUSE
3 FIGs INSIDE
+DISSOLVES",Residential,60,NA,Saucer,42.8,NA,Apparent Landing,NA,NA,NA,-13.92,"Map, Ground, Coast, Civilian",39,115,8,8,Oddity,Figure
1967,3,29,19,"NEW ULM,MN",Minnesota,USA,North America,DISK W/WINDOWS HVRS,"FAST ACCEL+AWAY
NFD
USAF/BBK RPT",Farmlands,1,NA,Saucer,44.31,NA,NA,308,"Military investigation, Blue Book",NA,94.46,"Map, Ground, Civilian",41,334,6,6,NA,No occupant
1958,7,8,19,"CANISTEAR Rsvr,NJ",New Jersey,USA,North America,2/BOAT,"LRG RED-GLOW ""BAR"" >N
TILTS 45�
LEVELS OFF
90�TURN..",Oil & coal,12,NA,Cigar,41.1,NA,NA,331,NA,NA,74.48,"Map, Ground, Civilian, High quality observer(s)",142,365,6,7,Misidentification,No occupant
1957,7,2,20,"GAVEA ROCK,BRZL",RDJ,Brazil,South America,2 SLVR MOONS HVR/PEAK,BLACK BANDS GROW UNTIL SURFACES COVERED!,Mountains,30,Technical,Saucer,-22.98,NA,NA,NA,Camouflage,NA,43.27,"Map, Ground, Civilian, High quality observer(s)",141,306,7,8,NA,No occupant
1974,3,26,NA,"nr POULDERGAT,FR",Finistère,France,Western Europe,1/CAR,"HEMISPHERE FOLOS ROAD
LONG HALF-CYL HVRS/INTERSECTION",Farmlands,5,NA,"Saucer, Cigar",48.04,NA,NA,NA,NA,NA,4.33,"Map, Ground, Coast, Civilian",251,77,7,6,NA,No occupant
1937,4,NA,2,"CAPODICHINO,ITL",NA,Italy,Western Europe,CUSTOMS MEN,"CLASSIC 25M SCR  FROM GND
SPINS
PORTHOLES+DOME",Town & city,1,NA,Saucer,40.88,NA,Apparent Landing,NA,NA,NA,-14.27,"Map, Ground, Civilian, High quality observer(s)",96,516,7,8,NA,No occupant
1961,8,~25,NA,"TOULOUSE,FR",Haute Garonne,France,Western Europe,5/CAR,"8M LUM-YEL SPHERE/WINDOWS
 as CAR NEARS TOWN
/r120p228+/r8",Town & city,5,NA,Saucer,43.63,Observation,"Vehicle affected, Building or ANY MANMADE STRUCTURE",NA,NA,NA,-1.43,"Map, Ground, Civilian",193,22,7,9,NA,No occupant
